action,domain,keep_id,duplicate_id,duplicate_name,production_id,production_name,source_name,reason
MARK_DUPLICATE_PRODUCTION,jysk.gr,,cmt8h8bgw0017yoiyj1igtm63,JYSK Greece,cmt8l5uyt000c5giyccj0b6md,JYSK Greece,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,kikocosmetics.com,,cmt8h77ux000vyoiywinmu1w2,KIKO,cmt8l5vnt000h5giybb6cc2ff,KIKO,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,kikocosmetics.com,,cmt9s1xxp0003zwiy1q0b5whk,KIKO Milano Greece,cmt8l5vnt000h5giybb6cc2ff,KIKO,Rediscovery Engine,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,kikocosmetics.com,,cmt9s1y100004zwiydbuq6jkr,KIKO Milano Greece,cmt8l5vnt000h5giybb6cc2ff,KIKO,Rediscovery Engine,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,kikocosmetics.com,,cmt9s1y4c0005zwiyrcbfquny,KIKO Milano Greece,cmt8l5vnt000h5giybb6cc2ff,KIKO,Rediscovery Engine,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,kikocosmetics.com,,cmt9s1y7m0006zwiyj6y7n7ws,KIKO Milano Greece,cmt8l5vnt000h5giybb6cc2ff,KIKO,Rediscovery Engine,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,korres.com,,cmt8lwsi30002xwiy0081zqlh,KORRES,cmt8movdd00055ciyebq5kzv5,KORRES,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,kounio.gr,cmt8pnz4x001hzsiyi4c5875b,cmt8po3m2002qzsiyml7tcfle,Kounio,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,kounio.gr,cmt8pnz4x001hzsiyi4c5875b,cmt8po7na003vzsiyljzajx31,Kounio,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_PRODUCTION,kulina.gr,,cmt71fvuo000fl0iygua30wtv,Kulina,cmt79ifor000t84iywm22uls1,Kulina,Kulina,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lapinkids.com,,cmt8h9nbv001nyoiykvnfj93k,Lapin House,cmt8l5wpa000m5giyp8dgrnvd,Lapin House,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt71fvn8000bl0iykv89kn1t,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,Lentiamo,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pnuzu000bzsiy7fqxc4xr,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pnyhh001azsiy91sfvqgg,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8po30c002kzsiydz8tdmcf,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8po727003pzsiylegqob0o,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8poaku004ozsiyvd0z87u4,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pocob0059zsiyltnv6fx3,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8poe8s005pzsiy5oj2h3eu,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pofa40060zsiynztr4use,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pog210068zsiy0u5n3et6,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pogmk006ezsiyc61flihi,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8poh3p006jzsiypddyj3zn,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pohdq006mzsiyc59djx41,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8poho4006pzsiygrmwvw6a,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8pohue006rzsiyrdcx4gjt,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8poi10006tzsiybo5sai8p,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_PRODUCTION,lentiamo.gr,,cmt8poi7o006vzsiycehan23e,Lentiamo,cmt79ig8y000z84iye5bnelem,Lentiamo,BestPrice Prepaid Cards,Explicit possibleOfficialUrl domain already exists in production
